"m49_code","country","region","cpc_code","commodity","year","loss_percentage","loss_percentage_original","loss_quantity","activity","food_supply_stage","treatment","cause_of_loss","sample_size","method_data_collection","reference","url","notes"
"356","India",,"0113","Rice",2016,3.51,"3.51%",,,"Post-harvest",,"","","Literature Review","NA (2017), Reducing the postharvest losses, especially in developing countries, could be a sustainable solution to increase food availability, reduce pressure on natural resources, eliminate hunger and improve f",," Reference has been generated automatically"
"356","India",,"01510","Potatoes",2016,3.2,"3.2",,,"Farm",,"","","No Data Collection Specified","(Minten et al., 2016","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf)",""
"356","India","Madhya Pradesh","0111","Wheat",2016,3.36,"3.36%",,,"Whole supply chain",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India","Gujarat","0111","Wheat",2016,7.04,"7.04%",,,"Whole supply chain",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"0111","Wheat",2016,1.43,"1.43%",,"Harvesting","Harvest",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"0111","Wheat",2016,4.07,"4.07%",,"Farm","Farm",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"0111","Wheat",2016,0.86,"0.86%",,"Storage","Storage",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"0111","Wheat",2016,4.07,"4.07%",,"Farm","Farm",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India","Maharashtra","0111","Wheat",2016,3.36,"3.36%",,,"Wholesale",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"0112","Maize (corn)",2016,4.65,"4.65%",,,"Whole supply chain",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"0112","Maize (corn)",2016,1.42,"1.42%",,"Harvesting","Harvest",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"0112","Maize (corn)",2016,0.75,"0.75%",,"Storage","Storage",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India","Rajasthan","0112","Maize (corn)",2016,6.89,"6.89%",,,"Whole supply chain",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"0112","Maize (corn)",2016,0.75,"0.75%",,"Storage","Storage",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"0112","Maize (corn)",2016,3.9,"3.90%",,"Farm","Farm",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India","Madhya Pradesh","0112","Maize (corn)",2016,2,"2%",,,"Whole supply chain",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"0113","Rice",2016,0.1,"0.10%",,"Drying","Farm",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"0113","Rice",2016,4.67,"4.67%",,"Farm","Farm",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
